"","X","inv_pres1","inv_pres2","inv_federal","inv_estadual","inv_gov","votaria","pref_cand","pref_part","inv_gov2","houseincome","income","catincome","male","efficacygov","efficacyvote","congressev","wouldvote","right","partyeval","knowledge","interest","education","age","govevaluation"
"54",54,0,0,NA,NA,0,1,1,2,NA,1000,2000,3,1,5,5,1,2,NA,4,7,1,6,45,1
"55",55,0,0,0,0,0,1,1,1,NA,1000,1000,2,0,5,5,4,2,9,NA,9,2,8,20,NA
"56",56,0,0,1,1,0,1,1,1,NA,1000,1660,3,0,2,5,2,2,NA,2,5,2,7,34,2
"57",57,0,0,NA,NA,0,3,1,2,NA,300,600,2,0,1,1,3,1,NA,1,6,3,3,56,3
"58",58,0,0,NA,NA,0,3,1,1,NA,400,664,2,1,5,5,4,1,10,4,4,2,7,21,4
"59",59,0,0,0,NA,0,3,1,NA,NA,300,550,2,0,5,5,4,1,NA,NA,6,2,4,48,4
"60",60,0,0,0,0,0,3,1,1,NA,255,510,1,1,5,5,4,1,0,4,14,4,5,40,6
"61",61,0,0,1,1,0,1,2,1,NA,NA,NA,4,1,1,5,NA,2,0,2,8,3,5,53,5
"62",62,0,NA,NA,0,0,1,1,2,NA,1500,1500,3,1,5,1,1,2,NA,1,4,2,3,35,1
"63",63,0,0,1,1,0,1,1,1,NA,666.666687011719,2000,3,1,5,5,3,2,0,4,12,3,7,50,6
"64",64,0,0,NA,NA,NA,1,2,2,NA,150,600,2,1,5,5,2,2,NA,4,5,2,2,27,5
"65",65,0,0,0,NA,NA,1,1,1,NA,204,1,0,0,4,5,NA,2,10,NA,8,3,3,48,NA
"66",66,0,0,1,1,0,1,1,1,NA,400,800,2,1,2,4,1,2,6,1,6,3,7,37,3
"67",67,NA,NA,NA,0,NA,1,2,2,NA,1000,800,2,0,1,3,1,2,NA,1,5,2,7,26,2
"68",68,0,0,0,0,0,3,1,1,NA,600,510,1,0,4,1,2,1,5,2,10,2,8,20,2
"69",69,0,0,0,0,0,3,2,1,NA,933.333312988281,1000,2,1,5,5,1,1,2,NA,5,2,7,39,4
"70",70,0,0,0,1,0,3,1,1,NA,1833.33337402344,4000,4,1,5,1,5,1,10,2,11,3,7,31,5
"71",71,0,0,NA,NA,0,1,1,2,NA,187.5,1,0,0,5,5,1,2,NA,2,5,2,7,51,6
"72",72,0,0,0,0,0,1,1,2,NA,150,1,0,0,5,5,5,2,NA,5,4,3,5,29,5
"73",73,0,0,NA,1,1,3,2,2,NA,1000,800,2,1,5,5,5,1,10,2,3,2,5,22,3
"74",74,0,0,NA,NA,0,3,2,1,NA,833.333312988281,1200,3,1,5,5,1,1,NA,2,5,2,7,55,2
"75",75,0,0,0,0,0,3,1,1,NA,1750,7000,5,0,5,5,5,1,10,5,5,3,8,21,NA
"76",76,0,0,0,0,0,1,1,2,NA,675,800,2,1,5,5,2,2,7,4,7,3,9,36,4
"77",77,0,0,0,NA,0,3,1,1,NA,1000,1000,2,1,5,5,NA,1,3,4,7,3,5,47,NA
"78",78,0,0,0,NA,0,1,2,1,NA,625,1000,2,1,5,5,1,2,NA,5,9,2,2,47,4
"79",79,0,0,0,0,1,1,1,2,NA,382.5,1530,3,1,5,5,3,2,NA,4,8,2,8,49,5
"80",80,0,0,NA,NA,0,3,1,2,NA,233.33332824707,510,1,1,5,5,2,1,9,4,7,3,3,66,5
"81",81,0,0,0,0,0,1,1,2,NA,NA,NA,1,0,1,1,1,2,NA,1,6,2,7,34,5
"82",82,0,0,NA,NA,0,1,1,2,NA,NA,NA,2,1,1,1,5,2,NA,3,6,1,4,38,5
"83",83,0,0,0,NA,0,1,2,2,NA,255,510,1,0,5,5,4,2,NA,4,1,1,2,48,4
"84",84,1,1,1,1,1,1,2,2,NA,NA,NA,2,0,1,5,2,2,NA,2,5,2,7,23,1
"85",85,0,0,0,1,0,3,1,1,NA,NA,2000,3,1,5,5,2,1,8,5,13,4,2,34,6
"86",86,0,0,0,NA,0,3,1,2,NA,450,900,2,1,5,5,5,1,NA,5,0,1,3,69,5
"87",87,NA,NA,NA,0,NA,1,NA,2,NA,510,510,1,0,5,1,NA,2,NA,NA,1,1,3,70,5
"88",88,0,0,0,NA,0,1,2,2,NA,280,510,1,0,5,5,NA,2,NA,NA,7,3,1,70,3
"89",89,NA,0,NA,0,NA,1,1,2,NA,1200,1000,2,0,5,5,1,2,NA,1,2,1,7,28,4
"90",90,0,0,0,0,0,3,1,1,NA,500,700,2,1,5,5,3,1,8,2,8,3,8,19,4
"91",91,0,1,NA,0,0,1,1,2,NA,1666.66662597656,1,0,0,5,3,1,2,4,1,4,3,8,20,4
"92",92,0,0,NA,0,0,1,1,1,NA,190,510,1,0,5,5,5,2,NA,5,5,3,2,62,5
"93",93,0,0,NA,NA,0,3,1,1,NA,441,510,1,1,5,5,2,1,NA,2,3,3,3,68,5
"94",94,0,0,0,0,0,2,2,1,NA,500,850,2,1,5,5,2,NA,NA,4,5,2,3,46,5
"95",95,0,0,0,0,0,3,1,1,NA,2666.66674804688,3500,4,1,5,5,4,1,1,4,8,3,10,44,5
"96",96,0,NA,0,1,0,3,2,2,NA,833.333312988281,600,2,1,5,5,1,1,10,1,10,1,3,55,4
"97",97,0,0,0,0,0,1,1,1,NA,750,760,2,0,1,5,2,2,10,2,10,4,8,50,5
"98",98,0,0,NA,0,0,3,1,1,NA,800,800,2,0,5,5,5,1,NA,NA,4,3,3,63,3
"99",99,0,NA,NA,NA,NA,1,2,2,NA,500,1,0,0,5,1,3,2,NA,3,3,4,7,44,3
"100",100,0,0,0,1,0,3,1,1,NA,600,800,2,1,4,4,2,1,8,4,5,3,6,19,5
"101",101,0,0,0,NA,0,1,2,1,NA,2150,2300,3,1,5,4,1,2,3,1,12,4,9,42,1
"102",102,0,0,0,0,0,3,2,2,NA,1500,1500,3,0,5,5,2,1,4,4,12,3,9,31,5
"103",103,NA,NA,NA,0,NA,3,1,1,NA,800,900,2,1,5,5,5,1,9,2,4,2,1,79,5
"104",104,0,NA,NA,NA,NA,1,1,2,NA,511,511,2,1,1,5,1,2,NA,1,7,3,7,35,1
"105",105,0,NA,0,0,0,3,1,2,NA,575,695,2,1,4,4,3,1,10,4,5,4,6,18,3
"106",106,0,0,NA,NA,0,1,1,2,NA,600,400,1,0,5,5,3,2,10,3,2,1,3,61,4
"107",107,NA,0,NA,0,NA,1,1,1,NA,500,2500,3,1,5,5,3,2,2,3,6,2,7,48,5
"108",108,0,NA,1,NA,NA,1,1,2,NA,400,800,2,0,5,5,1,2,NA,1,3,2,5,20,4
"109",109,0,0,NA,NA,0,1,2,2,NA,433.333343505859,510,1,0,5,5,3,2,NA,3,5,2,7,32,4
"110",110,0,0,0,0,0,3,2,1,NA,170,510,1,1,5,5,4,1,5,1,5,2,4,33,3
"111",111,0,0,NA,NA,0,1,1,1,NA,366.666656494141,1100,3,0,1,5,2,2,NA,4,3,4,4,41,5
"112",112,0,0,NA,NA,0,1,1,1,NA,NA,1000,2,1,4,5,2,2,NA,2,5,3,5,43,2
"113",113,0,0,0,NA,0,1,2,2,NA,1533.33337402344,2500,3,1,5,1,1,2,10,1,5,2,8,26,4
"114",114,1,NA,1,1,1,1,2,2,NA,366.666656494141,709,2,0,5,5,NA,2,NA,1,6,1,7,33,4
"115",115,0,0,NA,NA,0,3,1,1,NA,750,1,0,0,5,5,5,1,10,4,10,3,4,64,5
"116",116,0,0,0,0,0,3,1,1,NA,750,1500,3,1,5,5,1,1,NA,1,8,2,7,42,1
"117",117,1,1,0,0,0,3,1,1,NA,340,NA,NA,0,5,5,5,1,NA,5,4,3,3,45,5
"118",118,0,0,0,NA,0,3,1,1,NA,510,510,1,1,3,4,NA,1,NA,NA,2,1,2,64,NA
"119",119,0,0,NA,0,1,3,2,1,NA,700,850,2,1,5,5,2,1,9,NA,5,2,5,39,5
"120",120,0,0,0,NA,0,1,1,1,NA,750,800,2,0,5,5,2,2,NA,2,5,1,7,33,5
"121",121,0,0,0,0,0,1,1,1,NA,266.666656494141,1,0,0,5,5,5,2,NA,5,6,3,3,18,5
"122",122,0,0,NA,NA,0,1,1,1,NA,NA,NA,2,1,3,4,2,2,NA,5,1,1,5,20,5
"123",123,NA,NA,NA,0,NA,1,1,2,NA,1250,2000,3,1,2,3,1,2,3,2,6,3,7,32,3
"124",124,0,0,NA,1,0,1,1,1,NA,1200,1200,3,1,5,5,3,2,8,5,6,3,4,52,4
"125",125,0,0,0,0,0,3,1,1,NA,1500,3000,4,1,5,5,2,1,0,3,15,4,10,45,5
"126",126,0,0,1,1,0,1,1,1,NA,365,730,2,0,5,5,4,2,10,4,3,1,3,37,4
"127",127,0,NA,0,0,0,1,2,1,NA,833.333312988281,1000,2,1,4,4,2,2,9,2,10,1,7,47,3
"128",128,0,1,NA,0,0,3,1,1,NA,850.333312988281,1021,3,1,5,5,1,1,6,2,10,2,7,44,3
"129",129,0,0,0,0,0,3,1,1,NA,1050,1000,2,1,4,1,NA,1,7,3,8,NA,6,52,5
"130",130,0,NA,0,0,0,1,1,2,NA,750,650,2,0,5,5,5,2,NA,5,5,1,7,25,5
"131",131,0,0,NA,NA,0,1,1,1,NA,733.333312988281,1000,2,0,5,5,2,2,NA,3,4,3,4,59,5
"132",132,0,0,NA,NA,0,1,1,2,NA,1500,3000,4,1,5,5,1,2,10,1,11,3,7,41,2
"133",133,NA,NA,NA,0,NA,1,2,2,NA,NA,NA,3,1,5,5,2,2,1,2,7,1,3,76,5
"134",134,NA,NA,NA,0,NA,3,2,2,NA,204,300,1,1,5,5,1,1,NA,4,4,1,5,28,4
"135",135,0,0,NA,0,0,3,2,1,NA,2250,2300,3,1,4,4,2,1,6,2,9,2,9,32,2
"136",136,0,0,NA,NA,0,3,2,2,NA,4000,4000,4,1,5,5,5,1,0,4,13,3,9,79,6
"137",137,0,0,NA,NA,0,1,2,2,NA,333.333343505859,811,2,1,5,5,4,2,NA,4,9,4,4,36,5
"138",138,0,0,NA,0,0,3,2,2,NA,1500,1500,3,1,5,5,5,1,5,4,6,3,6,73,4
"139",139,0,0,1,1,0,3,1,1,NA,NA,NA,2,0,5,5,5,1,9,1,12,3,7,33,5
"140",140,0,0,0,0,0,3,1,2,NA,NA,NA,4,1,5,5,1,1,8,1,16,4,9,42,5
"141",141,0,0,0,0,0,3,1,1,NA,1100,1800,3,1,5,5,5,1,10,5,8,3,7,49,6
"142",142,NA,NA,NA,0,NA,1,1,2,NA,266.666656494141,800,2,0,3,2,3,2,9,NA,8,3,7,23,4
"143",143,0,0,1,1,0,3,1,1,NA,525,750,2,0,5,5,2,1,NA,2,5,3,4,38,4
"144",144,NA,0,NA,0,NA,1,2,2,NA,600,700,2,0,4,4,1,2,NA,1,2,2,2,66,5
"145",145,0,0,0,0,0,3,1,2,NA,500,510,1,0,2,2,NA,1,NA,4,6,4,7,25,5
"146",146,0,0,NA,NA,NA,3,1,2,NA,200,200,1,0,1,5,4,1,10,4,0,2,5,20,2
"147",147,1,0,1,1,1,1,1,1,NA,500,510,1,0,3,4,4,2,NA,2,2,2,7,18,1
"148",148,0,0,0,NA,0,1,1,2,NA,157.142852783203,510,1,0,1,5,NA,2,NA,NA,4,2,3,66,2
"149",149,0,0,0,0,0,1,1,1,NA,366.666656494141,1100,3,0,5,5,3,2,NA,NA,8,3,4,42,5
"150",150,1,1,NA,NA,1,1,2,2,NA,1100,2200,3,0,2,5,1,2,5,1,4,1,9,56,1
"151",151,0,0,NA,NA,0,3,1,1,NA,1020,1020,2,0,5,1,5,1,10,5,2,3,9,57,4
"152",152,0,0,0,NA,0,2,2,2,NA,340,510,1,0,5,1,2,NA,NA,2,2,2,7,20,4
"153",153,0,0,NA,NA,0,3,1,2,NA,255,510,1,0,5,5,NA,1,NA,NA,0,3,3,70,NA
"154",154,0,0,0,0,0,3,1,1,NA,510,450,1,0,5,5,5,1,NA,3,8,3,3,25,4
"155",155,0,0,0,0,0,3,1,1,NA,600,2000,3,1,5,4,2,1,5,4,11,4,10,27,5
"156",156,0,0,NA,NA,0,1,2,1,NA,666.666687011719,1200,3,1,5,5,2,2,NA,5,9,2,7,37,4
"157",157,0,0,0,0,0,3,2,2,NA,1250,1000,2,0,5,5,2,1,8,NA,5,3,10,34,5
"158",158,0,0,NA,NA,0,3,1,1,NA,750,1,0,0,5,5,NA,1,NA,NA,4,2,3,67,NA
"159",159,0,0,0,1,0,1,1,1,NA,1000,1,0,0,5,5,2,2,NA,4,4,3,4,37,5
"160",160,0,0,NA,NA,0,1,1,1,NA,292.5,660,2,1,5,5,2,2,9,5,7,4,2,30,5
"161",161,0,0,0,0,0,3,1,1,NA,204,510,1,0,5,5,5,1,10,4,4,4,7,22,5
"162",162,0,0,0,NA,0,1,1,1,NA,750,600,2,0,3,4,5,2,5,5,4,2,6,24,4
"163",163,0,0,1,1,0,1,1,2,NA,1250,1,0,0,5,5,1,2,NA,2,5,3,3,37,2
"164",164,0,0,NA,0,0,3,1,2,NA,635,670,2,1,5,5,2,1,0,2,9,2,7,28,5
"165",165,0,0,0,NA,0,1,1,1,NA,360,600,2,1,5,1,1,2,5,2,7,2,7,25,4
"166",166,0,0,0,0,0,2,1,1,NA,1150,1400,3,1,5,1,1,NA,7,4,7,4,7,67,4
"167",167,0,0,0,1,0,3,1,2,NA,332.5,665,2,1,5,5,NA,1,NA,NA,6,3,3,34,4
"168",168,NA,0,NA,0,NA,3,1,2,NA,600,510,1,0,5,5,NA,1,NA,NA,3,3,2,67,NA
"169",169,0,0,NA,0,0,3,1,2,NA,375,510,1,1,5,1,3,1,NA,2,6,3,7,26,4
"170",170,1,1,0,0,0,1,2,1,NA,250,1000,2,1,5,5,4,2,NA,4,10,4,3,43,6
"171",171,1,1,1,1,1,1,2,2,NA,666.666687011719,750,2,0,1,1,1,2,NA,1,4,2,7,45,6
"172",172,0,0,1,1,0,1,1,1,NA,700,1000,2,1,4,3,4,2,NA,5,4,3,4,39,5
"173",173,0,0,0,NA,NA,3,1,2,NA,1000,1000,2,0,5,5,5,1,NA,5,5,3,2,54,5
"174",174,0,0,1,1,0,3,1,2,NA,833.333312988281,1950,3,1,5,5,6,1,5,5,10,4,7,23,2
"175",175,0,0,0,0,0,1,1,1,NA,1250,2500,3,1,5,5,1,2,10,1,9,4,4,51,6
"176",176,0,0,0,0,0,3,1,2,NA,NA,NA,3,0,5,5,1,1,10,NA,11,3,5,54,5
"177",177,0,0,NA,0,0,3,1,2,NA,1250,1020,2,0,5,1,1,1,NA,4,7,3,7,18,6
"178",178,0,0,1,1,0,3,1,1,NA,1100,700,2,0,5,5,2,1,0,3,7,4,5,69,6
"179",179,0,0,NA,NA,0,1,2,2,NA,NA,1,0,0,5,5,NA,2,8,NA,4,NA,7,27,4
"180",180,NA,1,NA,0,NA,3,1,1,NA,400,730,2,1,2,5,1,1,4,1,7,1,7,28,1
"181",181,0,0,0,0,0,3,1,1,NA,500,800,2,0,5,5,4,1,NA,2,4,2,6,26,4
"182",182,0,0,1,1,0,1,1,2,NA,500,1,0,0,5,5,2,2,3,4,6,2,5,21,5
"183",183,0,0,NA,NA,0,3,1,1,NA,600,600,2,0,5,5,3,1,NA,3,6,3,7,22,3
"184",184,1,0,1,1,0,3,2,2,NA,750,510,1,0,5,5,2,1,NA,4,11,3,7,32,5
"185",185,0,0,0,1,0,3,1,1,NA,400,620,2,1,5,5,5,1,8,NA,8,2,3,58,2
"186",186,0,0,NA,0,0,1,1,2,NA,850,1,0,1,1,1,1,2,NA,1,5,3,8,55,4
"187",187,1,0,NA,NA,0,1,2,2,NA,250,250,1,1,1,1,NA,2,NA,NA,2,1,4,51,NA
"188",188,0,0,0,1,0,1,1,2,NA,600,510,1,1,3,5,5,2,NA,NA,3,2,6,27,4
"189",189,0,0,0,0,0,1,2,2,NA,510,510,1,0,5,5,5,2,NA,3,4,1,2,62,5
"190",190,0,NA,NA,NA,NA,3,1,1,NA,550,700,2,1,5,5,2,1,8,4,8,3,8,29,3
"191",191,0,0,0,0,0,3,1,1,NA,1275,1500,3,1,5,5,2,1,0,4,9,3,5,46,5
"192",192,NA,NA,NA,0,NA,2,1,2,NA,255,600,2,1,3,4,4,NA,5,4,8,2,7,37,5
"193",193,0,0,0,0,0,1,1,1,NA,400,1,0,0,5,5,5,2,10,2,10,3,8,21,5
"194",194,0,1,0,0,0,1,1,2,NA,800,800,2,0,3,5,5,2,6,4,8,2,7,44,5
"195",195,0,0,NA,NA,0,1,1,2,NA,250,510,1,0,3,3,3,2,0,1,7,2,7,30,3
"196",196,0,0,0,0,0,1,1,1,NA,510,1020,2,0,1,1,3,2,10,1,7,3,3,61,3
"197",197,0,0,NA,NA,0,1,1,2,NA,145,80,1,0,5,5,NA,2,NA,4,3,2,3,36,4
"198",198,NA,NA,NA,0,NA,3,1,1,NA,200,1,0,0,5,5,5,1,10,5,9,4,7,34,5
"199",199,0,0,0,0,0,1,2,1,NA,1100,1020,2,1,5,4,1,2,10,1,7,3,9,34,1
"200",200,0,0,NA,NA,0,1,2,2,NA,500,1000,2,0,5,5,5,2,NA,NA,3,1,4,53,5
"201",201,0,0,0,0,0,3,2,1,NA,1000,1500,3,1,5,5,1,1,2,3,13,3,9,38,4
"202",202,0,0,1,1,0,3,NA,1,NA,700,700,2,1,5,5,2,1,0,2,1,4,4,39,5
"203",203,0,0,0,0,0,3,1,1,NA,500,1,0,0,5,5,4,1,10,3,8,3,8,24,4
"204",204,0,0,0,0,0,1,1,1,NA,300,510,1,1,1,1,4,2,NA,4,8,1,5,33,4
"205",205,0,0,0,0,0,3,1,2,NA,333.333343505859,1000,2,1,5,5,4,1,7,4,9,4,4,53,4
"206",206,NA,NA,NA,0,NA,1,1,1,NA,700,700,2,0,5,5,NA,2,NA,1,4,2,2,70,2
"207",207,0,0,NA,NA,0,1,2,2,NA,466.666656494141,1,0,0,5,5,NA,2,NA,NA,8,1,3,57,NA
"208",208,0,0,NA,NA,0,3,1,1,NA,255,510,1,0,5,5,2,1,NA,5,7,3,7,50,5
"209",209,0,0,0,1,1,1,2,1,NA,836.666687011719,850,2,0,5,4,5,2,1,5,4,2,7,25,5
"210",210,1,1,0,NA,0,3,1,1,NA,2000,2000,3,0,5,5,5,1,10,4,4,3,5,42,5
"211",211,0,0,0,1,0,3,2,2,NA,875,2700,4,1,5,5,1,1,2,4,3,1,7,52,NA
"212",212,0,0,NA,0,0,3,2,1,NA,NA,NA,2,1,4,5,2,1,NA,5,10,2,7,55,5
"213",213,NA,NA,NA,0,NA,1,2,2,NA,NA,NA,2,0,1,1,1,2,NA,1,1,1,1,65,5
"214",214,0,0,0,0,0,3,1,2,NA,NA,NA,2,0,3,5,4,1,NA,4,4,2,9,24,4
"215",215,NA,NA,NA,0,NA,1,1,1,NA,NA,NA,2,1,5,5,2,2,NA,4,11,4,3,72,5
"216",216,NA,0,NA,0,NA,3,1,1,NA,1300,1500,3,1,2,2,1,1,9,1,9,3,3,56,6
"217",217,0,0,NA,0,0,3,1,1,NA,650,1,0,0,5,5,NA,1,NA,NA,5,3,6,35,3
"218",218,0,NA,NA,NA,NA,1,2,2,NA,1200,1200,3,0,1,5,1,2,NA,NA,2,1,3,63,1
"219",219,1,1,1,1,1,1,1,1,NA,833.333312988281,1020,2,0,5,5,4,2,10,4,1,1,9,54,4
"220",220,0,NA,NA,NA,NA,1,2,2,NA,750,1500,3,1,5,5,2,2,5,2,3,1,9,67,2
"221",221,0,0,NA,NA,0,1,1,1,NA,5000,5000,4,1,5,5,4,2,0,4,3,3,7,19,6
"222",222,NA,0,NA,0,NA,2,2,2,NA,800,700,2,0,5,5,4,NA,10,4,10,3,7,21,5
"223",223,NA,NA,NA,0,NA,3,1,2,NA,1375,1,0,1,3,5,4,1,5,2,12,3,8,19,5
"224",224,NA,0,NA,0,NA,3,1,2,NA,1250,800,2,0,5,5,1,1,10,2,3,3,8,34,1
"225",225,0,0,1,NA,0,1,1,2,NA,1500,700,2,0,5,5,1,2,10,1,5,1,7,47,1
"226",226,0,0,NA,NA,0,3,1,1,NA,300,300,1,0,5,5,4,1,NA,4,5,3,7,25,6
"227",227,0,1,1,0,1,1,1,2,NA,NA,1200,3,1,5,5,1,2,NA,2,7,2,7,29,5
"228",228,0,0,NA,NA,0,1,2,2,NA,350,400,1,0,4,5,4,2,NA,4,4,2,6,19,4
"229",229,0,0,1,1,0,1,1,2,NA,350,700,2,1,4,2,1,2,10,1,3,1,7,34,5
"230",230,NA,0,NA,0,NA,1,1,1,NA,750,1500,3,0,5,3,5,2,NA,5,11,3,7,28,5
"231",231,0,0,NA,NA,0,3,2,1,NA,1500,1000,2,0,4,3,5,1,NA,5,8,3,7,23,5
"232",232,0,0,NA,NA,0,1,2,2,NA,666.666687011719,700,2,1,5,1,2,2,4,2,14,3,8,41,5
"233",233,0,0,NA,NA,0,1,1,1,NA,NA,NA,2,1,5,5,5,2,10,5,7,3,7,24,5
"234",234,0,0,0,0,0,3,NA,1,NA,NA,NA,4,1,4,3,4,1,10,5,9,2,9,25,5
"235",235,0,0,NA,NA,0,3,2,1,NA,NA,NA,NA,0,1,4,5,1,6,5,6,1,4,59,5
"236",236,0,0,1,1,0,2,2,1,NA,1650,2300,3,1,5,3,2,NA,5,2,13,2,9,42,5
"237",237,0,0,0,0,0,3,1,1,NA,633.333312988281,1100,3,1,5,5,1,1,0,1,8,2,7,41,3
"238",238,0,0,0,NA,0,3,1,1,NA,1000,800,2,0,5,5,1,1,NA,1,7,3,5,24,5
"239",239,0,0,NA,NA,0,1,1,1,NA,500,1000,2,1,5,4,3,2,10,4,10,3,7,36,4
"240",240,0,0,0,0,0,3,1,2,NA,NA,600,2,0,5,5,2,1,NA,2,7,2,7,39,2
"241",241,1,1,1,1,1,1,2,2,NA,375,800,2,0,3,5,4,2,5,4,2,2,5,44,4
"242",242,0,0,NA,NA,NA,1,1,2,NA,200,1,0,1,5,1,5,2,NA,1,1,2,2,50,4
"243",243,0,0,NA,NA,0,1,1,1,NA,1000,1200,3,1,5,5,5,2,NA,3,2,2,7,19,5
"244",244,NA,NA,NA,0,NA,1,2,1,NA,1275.5,2551,4,1,4,5,3,2,4,3,13,3,8,33,5
"245",245,0,0,NA,NA,NA,1,2,1,NA,400,600,2,0,5,4,2,2,NA,2,3,3,3,53,4
"246",246,0,0,NA,0,0,3,1,1,NA,400,1200,3,1,5,5,NA,1,3,5,16,3,3,74,4
"247",247,0,0,NA,NA,0,3,1,1,NA,1800,1800,3,0,5,5,2,1,2,2,7,3,5,68,4
"248",248,0,0,NA,NA,0,3,1,1,NA,275,800,2,1,5,5,4,1,9,4,8,3,3,51,3
"249",249,0,0,1,1,1,3,2,2,NA,NA,NA,NA,1,5,5,1,1,NA,1,7,3,6,47,1
"250",250,0,0,NA,NA,0,1,1,1,NA,1000,1000,2,0,1,1,4,2,NA,2,6,2,5,47,5
"251",251,0,0,1,1,0,3,2,2,NA,NA,NA,1,1,5,5,2,1,10,2,1,2,4,67,5
"252",252,0,0,NA,1,0,3,1,1,NA,1250,1700,3,1,5,5,2,1,3,4,8,4,8,35,4
"253",253,0,0,NA,NA,0,3,1,1,NA,1200,1200,3,0,5,5,5,1,8,5,9,4,5,50,5
"254",254,0,0,NA,NA,0,3,1,1,NA,766.666687011719,1000,2,0,5,5,4,1,NA,4,4,3,4,44,4
"255",255,0,0,0,0,0,3,1,1,NA,666.666687011719,1000,2,1,5,5,4,1,0,2,6,3,6,30,4
"256",256,0,0,NA,NA,0,1,1,1,NA,500,1000,2,1,3,3,3,2,6,4,4,3,7,24,5
"257",257,0,0,0,NA,0,3,1,1,NA,3000,3000,4,1,5,5,2,1,10,2,9,4,7,42,5
"258",258,1,1,NA,NA,0,1,2,2,NA,2550.33325195312,NA,5,1,2,5,1,2,5,1,8,3,9,51,1
"259",259,0,0,NA,NA,0,3,1,2,NA,750,1200,3,1,2,5,2,1,7,1,7,3,7,19,4
"260",260,0,0,0,0,0,3,1,1,NA,600,1,0,1,4,5,3,1,NA,3,11,3,8,35,5
"261",261,0,0,NA,0,0,3,1,1,NA,510,510,1,0,5,5,1,1,NA,5,8,3,7,27,5
"262",262,0,0,0,0,0,3,1,2,NA,250,1,0,0,5,4,4,1,0,4,10,3,3,54,4
"263",263,0,0,0,NA,0,1,1,2,NA,875,1100,3,0,5,3,4,2,10,4,4,1,5,37,4
"264",264,0,0,NA,NA,0,2,2,1,NA,NA,1,0,0,4,4,3,NA,NA,3,7,2,8,18,4
"265",265,0,0,0,0,0,3,1,1,NA,600,1,0,0,5,5,5,1,3,4,7,3,7,21,4
"266",266,0,0,NA,NA,0,1,2,1,NA,666.666687011719,800,2,0,1,3,2,2,NA,2,3,1,7,32,4
"267",267,0,0,NA,0,0,3,1,2,NA,340,200,1,0,5,5,4,1,NA,2,6,2,6,25,2
"268",268,0,0,NA,NA,0,3,1,1,NA,275,1,0,0,5,5,4,1,9,2,7,3,8,47,4
"269",269,0,0,NA,0,0,1,2,2,NA,NA,NA,2,0,1,1,1,2,0,1,4,1,5,23,1
"270",270,0,0,NA,NA,NA,3,2,2,NA,NA,1,0,0,2,1,1,1,NA,1,3,3,6,24,1
"271",271,0,0,NA,NA,0,1,1,2,NA,300,600,2,1,5,5,5,2,8,5,1,2,7,29,5
"272",272,0,0,0,0,0,3,1,1,NA,400,510,1,0,5,5,5,1,7,5,9,3,3,60,6
"273",273,0,0,NA,NA,0,1,1,1,NA,255.5,511,2,1,5,5,5,2,8,5,5,4,1,60,5
"274",274,1,1,1,1,1,1,2,2,NA,511,511,2,0,4,4,3,2,NA,1,5,1,4,59,1
"275",275,NA,NA,NA,0,NA,1,1,2,NA,167.5,1,0,0,5,5,5,2,NA,4,3,3,7,22,4
"276",276,0,0,1,1,1,1,2,1,NA,333.333343505859,NA,1,0,5,5,4,2,NA,4,4,1,3,56,4
"277",277,0,0,0,NA,0,3,2,2,NA,1400,NA,1,0,5,5,1,1,6,2,6,3,7,33,5
"278",278,0,NA,NA,NA,0,1,2,2,NA,266.666656494141,600,2,1,5,5,4,2,NA,4,4,3,4,41,3
"279",279,0,0,0,0,0,1,1,1,NA,NA,1000,2,1,5,5,4,2,NA,4,9,3,8,33,2
"280",280,0,NA,0,NA,0,1,2,2,NA,400,500,1,0,1,1,5,2,7,5,7,2,3,45,4
"281",281,0,0,0,NA,1,3,1,2,NA,833.333312988281,1200,3,0,5,5,2,1,NA,5,5,2,7,32,5
"282",282,0,0,0,NA,0,3,1,1,NA,333.333343505859,600,2,1,5,5,5,1,NA,5,10,2,2,55,5
"283",283,0,0,0,NA,NA,2,1,1,NA,225,900,2,1,5,5,1,NA,NA,1,6,1,5,41,4
"284",284,0,0,NA,NA,NA,1,1,2,NA,600,600,2,0,1,1,5,2,NA,5,5,2,7,43,5
"285",285,0,0,NA,0,0,1,1,1,NA,333.333343505859,300,1,0,5,4,4,2,10,4,8,2,3,30,6
"286",286,0,0,NA,NA,NA,1,2,2,NA,NA,600,2,1,3,3,5,2,4,5,3,3,7,18,5
"287",287,0,0,1,1,1,3,2,2,NA,765,1530,3,1,1,5,NA,1,10,NA,3,2,3,80,5
"288",288,0,0,NA,NA,0,3,1,1,NA,550,550,2,0,5,5,4,1,0,4,7,3,7,31,5
"289",289,0,1,NA,NA,0,2,2,2,NA,1500,1500,3,1,3,3,4,NA,NA,4,9,3,3,54,4
"290",290,0,0,0,0,0,3,1,1,NA,1750,1200,3,1,5,5,2,1,NA,2,5,3,6,18,5
"291",291,0,0,NA,NA,0,3,1,1,NA,800,600,2,1,5,5,4,1,10,4,8,2,4,53,2
"292",292,0,0,NA,NA,0,3,1,1,NA,500,NA,NA,0,5,5,2,1,NA,2,3,2,2,59,2
"293",293,0,0,1,1,0,3,1,1,NA,2500,3000,4,0,5,5,4,1,NA,3,5,2,4,40,4
