"","X","inv_pres1","inv_pres2","inv_federal","inv_estadual","inv_gov","votaria","pref_cand","pref_part","inv_gov2","houseincome","income","catincome","male","efficacygov","efficacyvote","congressev","wouldvote","right","partyeval","knowledge","interest","education","age","govevaluation"
"1898",1898,0,0,0,NA,0,1,2,2,NA,510,1020,2,1,2,1,4,2,9,4,4,2,7,36,4
"1899",1899,0,0,1,1,1,2,1,2,NA,1000,800,2,0,5,5,2,NA,NA,4,3,2,7,24,4
"1900",1900,0,0,0,0,0,3,1,2,NA,2000,1100,3,1,5,4,3,1,5,3,11,3,8,23,3
"1901",1901,0,0,0,0,0,3,1,1,NA,666.666687011719,2000,3,1,3,3,4,1,3,4,8,3,7,55,5
"1902",1902,0,0,1,1,0,3,2,1,NA,750,500,1,0,3,4,4,1,4,4,10,3,7,26,5
"1903",1903,0,0,0,NA,0,3,1,1,NA,1500,1800,3,1,4,4,4,1,8,2,8,3,5,65,4
"1904",1904,0,0,0,0,0,3,2,2,NA,510,510,1,1,5,5,6,1,5,1,5,2,7,28,4
"1905",1905,0,0,0,0,0,3,1,1,NA,400,510,1,0,5,5,3,1,1,4,2,2,4,44,4
"1906",1906,0,0,0,NA,0,3,1,2,NA,170,510,1,0,4,4,3,1,NA,4,3,3,3,30,5
"1907",1907,0,0,0,0,0,3,1,1,NA,3000,2000,3,0,5,4,3,1,3,3,3,2,7,42,3
"1908",1908,0,0,0,0,0,3,1,2,NA,1050,1000,2,0,5,4,4,1,5,3,8,NA,4,70,4
"1909",1909,0,0,NA,1,0,3,1,1,NA,1000,1000,2,1,5,5,4,1,10,4,10,2,5,29,4
"1910",1910,0,0,NA,NA,0,3,1,1,NA,1350,1000,2,0,3,3,3,1,3,4,NA,3,7,31,4
"1911",1911,0,0,0,0,0,3,2,2,NA,510,620,2,0,5,5,4,1,1,4,4,2,5,21,4
"1912",1912,0,0,NA,NA,0,3,1,1,NA,125,500,1,0,5,5,5,1,NA,5,3,3,4,49,5
"1913",1913,NA,NA,NA,0,NA,1,1,1,NA,300,600,2,1,5,5,5,2,NA,5,2,3,2,44,5
"1914",1914,0,0,NA,NA,0,1,1,2,NA,500,1500,3,1,5,5,2,2,NA,2,6,2,2,58,4
"1915",1915,NA,NA,NA,0,NA,1,1,1,NA,6000,8000,6,1,5,5,1,2,4,1,12,4,9,34,1
